,mbti,title,content,mbti_label,e_i,n_s,f_t,j_p
10,infp,istj 남친 진짜 istj 같아요ㅜㅜㅋㅋㅋㅋㅋㅋㅋㅋ,"남자친구가 자꾸 질문이라곤 밥 먹었어 뭐 먹었어 만 아침, 점심, 저녁으로 반복해서 장난 식으로 불만 토로했거든요 내가 돼지야 오빤 왜 맨날 나 먹는 거만 물어봐 그거 말곤 안 궁금해하니까 제가 메뉴를 다양하기 먹길래 진짜로 너무 궁금해서 물어봤다고.... 그것만 물어봐서 기분 별로였냐 하더니 그 다음날부터 밥 메뉴 빼고 다 물어봐요ㅋㅋㅋ.. ㅋㅋㅋ 진짜 뭐 먹었냐고 한 번도 묻질 않네요ㅋㅋㅋ 어이가 없어서ㅋㅋㅋ 대신 뭐하고 있어 질문이 새로 생겼어요 그래도 오늘은 본인이 먼저 전화 와 선 뭐 하고 있다 하고 수다도 떨고 오빠 매력 포인트 발견했다~~ 하니까 궁금해하길래 그럼 내 매력 포인트도 말해줄 거냐니까 재밌어서 좋대요,, ᅮ 내가 무슨 개그맨이냐니까 좋으니까 재밌는 거지~~ 하는데 이게 뭐라고 저 혼자 좋아 죽었어요 ᄏᄏᄏ잉ᅲᅲ..... 저도 첨엔 표현 안 하고 연락도 잘 안 하는 것으로 섭섭해하다가 이젠 남자친구 성향을 있는 그대로 받아들이고 그러려니 했는데 남자친구도 맘 많이 연 거 맞죠 ㅎ... 아휴 어렵다 증맬루ㅠㅠ",9,0,1,1,0
11,isfp,ISTJ분들 이별 결심했을때 거짓말없이 바로 얘기하죠?,제 생각에 istj분들은 잠수 이별이나 거짓말로 시간을 끌거나 하지 않고 바로 이별을 고 할 것 같은데 대체적으로 어떤 편이신가요,13,0,0,1,0
12,istj,엄마랑 왜이렇게 하나하나 다 안맞나 했더니,"istj 엄마랑 붙어사는 정반대 enfp 딸이었기 때문 ｦｦ 나 엄마 딸 맞아 ㅋ ㅋ ㅋ ㅋ 싶네요 enfp가 istj랑 사이좋게 지내려면 어떻게 하면 좋을까요 갓난 아기 때부터 20살까지 할머니가 키워주셔서 정도 안 쌓였는데,,, ヲヲヲ ㅜㅜ 엄마한테 상처받기도 했고,, 맞는 게 하나도 없어서 관계를 어떻게 좋게 만들지 참 고민이네요 몇 번 시도는 해봤지만 ㅜㅜ",14,0,0,0,1
13,istj,istj요,잘 몰라서 그러는데.. 읽씹이나 안읽씹 잘하나요.. 그거 하고 일주일 후에 답장하는 거 원래 이래요,14,0,0,0,1
14,istj,istj 남자분 대상 수작 멘트좀 추천해주세료!,안 친한 분한테 카톡으로 커피 마시자고 할 건데 어떻게 말해야 istj 남자분이 덜 부담스러우실까요 커피 한잔할래요 이러면 너무 최준 같아서... istj 님들의 소중한 조언 기다립니다,14,0,0,0,1
15,isfp,감정표현이 어려워요ㅠㅠㅠ,아니 요즘 연하 esfj랑 묘한 기류 은근한 썸 타는데 esfj는 제가 보기에 놀라울 만큼 표현을 풍부하게 잘 하고 심지어 어색하지도 않더라고요 이 부분에서 굉장히 대단하다 생각하는데 문제는... 정작 제가 표현을 못 하겠어요ㅋㅋㅋ 상대가 표현을 해주면 나도 똑같이 해주고 싶은데 아니 왜 이렇게 입이 안 떨어지죠.. 머리로는 나도 솔직하게 표현을 해줘야 한다는 걸 아는데 이게 행동이나 말로 안 튀어나와요.. 분명 마음은 간질간질 몽글몽글 거리는데 현실은 최강 통나무가 되어버립니다...,13,0,0,1,0
16,estp,간만에 놀러왔어요 질문좀해주세여..,제 곧 내. 심심해 융. 오랜만에 estj 대한 글 보니까 자기애 뿜뿜되기도 하고 부끄럽기도 하고 ㅋㅋ 아무거나 물어보세요,7,1,0,0,0
17,estj,estj남자 isfj여자 연애,"isfj 여자인 저는 연애할 때 올인하고 잘 표현해주는 거 좋아하는 스타일이라서,, estj 남자분이랑 지금 썸인데,,, 연애한다고 생각하면 좀,, 힘들지 않을까 생각도 들어요ㅠㅠ 지금 estj 남자분과 연락하는 패턴만 봐도 estj 남자분은 자기 일 다하고 남은 시간에 저와 교류하고 ... 전 솔직히 이런 거 싫거든요... 자기 시간이 중요하고 저도 자기만의 시간 가지는 거 중요하게 생각하는데 자투리 시간 이런 생각이 들 정도로 너무 자기 시간을 1순위 하는 연애하는 건 솔직히 마음에 안 들어요.... 원래 이런것은가요....ㅠㅠ 저는 전화도 오래 하고 싶고 그런데 이분이랑은 자기 전에 전화 시작해서 내일 일어날 거 생각하면 ㄸ 2 30분 정도밖에 못하고,,, 제가 원하는 연애는 이런 게 아닌데....",6,1,0,0,1
18,estj,Estj 남친이 제 눈치를보네요,"감정적인 문제로 몇 번 다투다가 서로 다름 인정하고 만나고 있는데,, 이상하게 저는 저대로 계속 연락에 대해 서운하더라고요 관심 없어 보이고,, 오늘 제가 친구 만나고 왔는데 오늘 잘 만났어 잘 들어가고 있어 이런 저에 대한걸 궁금해하지 않아서 괜히 서운했거든요 집 왔는데 졸리다고 자겠다는 거예요 그래서 조금 서운했는데 잘 자라고 했더니 남자친구가 제 톡 뉘앙스를 봤는지 서운해 물어보더라고요 ᄒᄒ 그래서 조금 피곤하니까 어서 잡 나도 곧잘 거야 이랬더니 졸렸는데 기다렸는데ㅠ 이러는 거예요 차라리 졸렸는데 들어간 거 보려고 기다렸다 근데 너무 졸리다 말했으면 알았을 텐데,, 저는 연락적으로 서운함이 쌓여서 그랬던 거고,, 눈치 보게 하는 게 너무 미안하네요ᅲᅲᅲ 지칠까 봐 겁나요,, 안 맞는 건가 계속 저도 생각하게 되고요 어렵네요ㅠㅠ 자기 속 얘기를 풀어서 말해달라고 하기엔 너무 어렵겠죠",6,1,0,0,1
19,isfj,"표현, 연락없는 istj한테 맞추려고","저도 그냥 표현, 연락 안 하고 있는데요ㅋㅋㅋ istj분들 연인이랑 이렇게 하면 더 편안함 느끼시나요 전 솔직히 표현 많이 하고 연락 자주 하는 연애만 해왔고 그래야만 제대로 연애하는 거라 생각했는데 다시 생각해보니까 1년 넘어갈 때 즈음엔 각자 할 일 하면서 연락에 무뎌지고 표현에도 무뎌졌는데 사실 그때가 마음은 더 편했거든요 지금도 istj가 연락도 뜸하고 표현도 안 해서 나랑 왜 만나나 싶다가도 내 할 일 할 수 있고 간섭 안 하는 istj 덕에 눈치 안 보고 하고 싶은 거 다 하고 만나고 싶은 사람 다 만나니까 이것도 이 연애의 장점이겠다 싶어서 저도 남자친구 속도에 맞추려고요 ᄏᄏᄏ 이런 연애 좋아하시나 영",12,0,0,1,1
20,isfj,잇티제 분들 궁금한게 있습니다,이성인 istj 친구가 있는데요 만나면 서로 웃고 떠들고 잘 놀거든요 서로 먹을 거도 가끔 챙겨주고요 근데 카톡이나 문자를 하게 되면 정말 거짓말같이 느리던데 원래 그런가요... 현실과 폰 세계의 괴리감이 너무 커서 당황했어요 ㅋㅋㅋ 그냥 별 관심이 없는 거일라나요 궁금하네요,12,0,0,1,1
21,isfj,짝남 분 2-3주만에 봤는데,너무 어색해요ㅠ.ㅠ 아르바이트하는 시간에 자주 가서 막 수다도 떨고 좀 친해졌다 싶었는데 오늘 오랜만에 봤는데 너무 어색해서 눈알만 굴리다가 왔어요 ㅜㅠㅜ 다시 친해지기 프로젝트 시작이에요 쫑알쫑알 또 말 걸어야지,12,0,0,1,1
22,intj,Istj의 속마음을 알 수 없는 Infp,"istj 여자친구를 둔 infp 남자입니다. 만난 지 200일 된 대학생 커플인데요 속마음을 잘 모르겠어요. 과 cc로 제가 먼저 사귀자고 해서 지금까지 만나는데요 초반엔 정말 연락도 잘 안 하고 표현도 없어서 내가 너무 성급하게 연애했나 생각도 많이 들었지만, 지금은 연락도 나름 잘 하고 전화도 하루 한 번은 하고 사랑한다고 표현도 해줍니다. 얼마 전엔 집에 놀러 갔다가 부모님도 소개해줘서 같이 식사도 했습니다. 근데 제가 긴가민가 한건 먼저 만나자고 약속 잡는 게 항상 저만 그러고 여자친구가 먼저 만나자고 한건 거의 없네요. 원래 친구도 잘 안 만나는 거 같긴 한데 데이트도 일주일에 한 번만 하고, 자기 속마음도 잘 말을 안 하는 거 같고, 이럴 땐 정말 날 사랑하는 게 맞나 싶네요. 제가 너무 예민하게 생각하는 거겠죠 istj와 연애를 오래 하기 위해서 제가 알아야 할 거나 조언해주시면 감사하겠습니다",10,0,1,0,1
23,infp,잇티제의 효율은 대체 어디까지..🤦‍♀️,어느 날 잇디 제가 ㅋ 하나만 쓰길래 비웃는 것 같으니 여러 개 붙이라 했더니 효율이 떨어진다고 ㅋ ㅋ 1 이런 식으로 보내네요ㅋㅋㅋ 하.................. 냉철한 사람인데 가끔 보면 유치원생 같기도 하고......,9,0,1,1,0
24,infp,Istj 남자 질투? 인가요??,"오랜만에 친구를 봤는데 친구 아는 분 돗자리에 같이 계셔서 같이 얘기를 나눴거든요 근데 아무리 봐도 드립 치시는 거나 챙겨주시는 부분이 제 남자친구랑 똑같아서 너무 웃겨서 호들갑 떨면서 친구 보러 왔는데 친구 아는 분 오빠랑 너무 닮아서 웃겻서 오빠 리틀 버전 같아~ 우리 첨 만났을 때 생각이 나네 했더니 ㅡㅡ 뭐가 닮았는데.ㅡㅡ 뭐 하는 사람인데. 톡이 대도독 오더라고요 그래서 말씀하시는 거나, 챙겨주시는 모습이 비슷해서 생각이 났다 그냥 친구의 친구다 하니까 생긴 건 안 비슷해 하네요 이거 혹시 질투인가요 가끔 헷갈릴 때가 다분하네요 헛 질투라면 죨귀탱 사망각입니댜 꾸우 들숨에 사망 날숨에 사망",9,0,1,1,0
25,enfp,estj의 사랑표현은 잔소리인가요?,제 남자친구가 estj인데 잔소리를 너무해요... 단거 그만 먹어라 밥 좀 먹어라 이런.. 그동안 남자친구들은 이 정도까진 아니었거든요 당황스럽네요 엄마 2명 있는 기분..,1,1,1,1,0
26,enfp,잇티제남이 구구절절 tmi 말해줘요 ㅎㅎ,ㅠㅠ 카톡으로 구구절절 tmi도 말해주고 뜬금없이 사진도 찍어서 보내고 잇디 제가 이러려면 진짜 맘에 들인 사람이어야 한다고 들었는데 잘 될 것 같아서 너무 기분이 좋네요 ㅎㅎ,1,1,1,1,0
27,entp,여행 안간다고 식어버린 istj 남친,istj 남자친구랑 사귀고 일주일 만에 주 4일을 볼 정도로 서로 직진이었는데 갑자기 남자친구가 다음 주에 여행 가자고 그래서 ㅇㅋ했다가 제가 그 다음날 너무 이른 거 같다 담에 가자 했더니 남자가 텐션 급 낮아지고 삐지고 식어버리더라고요 그 이후로 직진도 안 하고 어젠 카톡 답장 텀이 8시간이어서 이것저것 여러 개 화나서 남자친구한테 전화해서는 우리 2주 만에 서로 식은 느낌인데 이렇게 만나는 게 맞는 건지 모르겠다 그랬더니 남자친구가 자기는 처음 같은 마음은 지금 아니지만 본인은 식은 거 같진 않다. 너는 벌써 식은 거냐 이러던데 이런 상황 어떻게 해결하는 게 좋을까요 그냥 2주 만에 식어버린 거면 헤어지는 게 나을까요 아님 좀 더 사귀면서 지켜보는 게 낫나요,3,1,1,0,0
28,isfp,잇티제 남친의 편지,얼마 전에 제 생일이라 편지 써줬는데 지금껏 남자친구한테 받았던 편지 중에 제일 좋았어요 헤어졌다가 제가 붙잡아서 다시 만나고 있는데 그런 부분에 대해서도 말해주고 올릴 수는 없지만 제가 항상 걱정하고 신경 쓰는 부분들 하나하나 말하면서 고맙다고 걱정 말라고 해주는 걸 보고 내가 그동안 괜한 걱정 하고 있어나 생각도 들었네요,13,0,0,1,0
29,enfp,엣티제들 원래 웃음이 많아요? 도와줘요plz,제 남자친구는 제가 세상에서 제일 웃기대요 주위 사람들 중에 제가 가장 특이하고 어디로 튈지 모르고 무슨 생각 하는지 짐작이 안되는 사람이래요 근데 저 나 잼 진지한 이미지인데다 상식선에서 행동하는 사람인데ㅠ 이제까지 남자친구들한테는 항상 멋진 누나의 이미지였고 어른스럽고 침착하다는 말 많이 들었거든요 근데 얘는 제가 입만 열면 웃고 주말에 저 보러 올 때 오늘은 어떤 쇼를 볼까~ 생각하면서 온대요 그래서 제가 너 원래 이렇게 잘 웃냐고 물어보면 또 아니래요 평소에는 무표정으로 산대요 저는 애인을 볼 때 웃긴 거보단 존경할만하고 멋진 게 좋은데 이렇게 뭘 하든 웃기다는 게 좋은가요 estj 들 알려주세요 이거 긍정 신호인가요...,1,1,1,1,0
30,istj,istj분들 시간지나 만나면,"마음이 식을까요 상대방이 istj인데 중요한 시험 준비 중이라 제가 먼저 시험 때까지는 시험에 집중하고 시험 끝나면 연락 주는 게 어떻겠냐 하니까 상대방이 배려해주셔서 감사하다고 말하고 싶었다, 시험 끝나면 맛있는 거 먹으러 가자 했어요 항상 본인이 한 말 그대로 행동하던 사람이라 기다려보려고는 하는데 아무리 istj라도 똑같은 사람인데 안 만나고 연락도 안 하면 마음이 식지 않을까 싶어 질문드려요,,, istj분들 시험 준비하는 동안 마음이 식을까요",14,0,0,0,1
31,isfp,엣티제 궁금합미당~,안녕하세요 estj 분들이나 주변에 두신 분들~ estj가 불만이나 부정적 의견 투덜투덜 대는 건 사바사 일가요 본인은 투덜투덜 대는 거 자각도 못하고 있어서 궁금해서요~,13,0,0,1,0
32,isfj,Istj남친 그냥 버려도 되는 부분인가요?,오늘 처음으로 1시쯤 제 마지막 카톡으로 남자가 안읽씹해서는 좀 전에 막 9시에 연락 왔는데 거의 8시간 안읽씹 한 것인데 이 남자 그냥 버려도 되는 부분인가요 같은 istj 분들이 봐주세요 남자는 백수에 카페에서 논문 읽는다 했어요 전혀 바쁜 상황은 아닌데 텀이 너무 심한 거 같아서요,12,0,0,1,1
33,entp,estj 남자 애정표현,썸은 한 달 정도 탔고 사귄 지 한 달 정도 됐어요 근데 애정표현이 진짜 하나도 없더라고요 보고 싶다. 좋아한다. 좋다. 행복했다. 이런 것도요 사랑한다는 아직 만난 지 얼마 안 됐으니 그렇죠 저도 그렇고요 원래 이렇게 애정표현이 없나요... 어떤 부분에서 사랑받는다는 느낌을 느낄 수 있을까요 계속 채워지지 않는 무언가 때문에 이 연애 힘들 것 같다는 생각이 많이들어요ㅠㅠ,3,1,1,0,0
34,entp,테스트결과!,처음으로 알게 됐네요 istj이겠거니 했는데 myers briggs type 이것은 뭔가요,3,1,1,0,0
35,istj,_stj 9w1,_stj 9w 알고 싶어져요.. 이런 사람은 어디에 주로 있나요 여쭤볼게 많은데.. 통계 보니깐 조합 자체가 흔치 않네요ㅠ,14,0,0,0,1
36,enfj,Istj 와 infp는 잘 맞을까요?,제목 그대로예요 둘이 연인 관계라고 가정했을 때 좋은 관계로 잘 잘 전 가능할까요 궁합 표는 파국이 더리고요 ㅜㅜ 경험담이 필요해요,0,1,1,1,1
37,istj,잇티제 꼬시는 법,"istj는 어떻게 꼬셔야 하나요, 옆에서 맴돌면서 스며들게 하는 방법밖엔 없을까요 ㅠㅠ",14,0,0,0,1
38,infp,estj(엣티제) 궁금증,연인에게 설명하기 귀찮아서 거짓말하나요 양다리 가능한가요 상대에게 감정이 식었을 때 변하는 행동은 estj가 화나서 헤어지자 하고 염탐하면 무슨 생각일까요 estj가 찐 사랑일 경우 하는 행동과 말은 estj에게 재회란 전 여자친구 다시 만나볼까라는 생각이 들 때는 질문이 많죠 estj에 궁금한 게 많아져 버렸네요. 무서운 존재면서 매력 있는 것 같고 다르니까 더 궁금하네요,9,0,1,1,0
39,enfp,엣티제가 엣팁과 다른 점?,"저는 검사상 에 팁인데, 여러 자들에 설명을 읽어보면 estj가 더 맞거든요,, estp 와 estj는 꽤 많이 다르다는 말도 있고... 두 유형이 서로 어떤 점이 다르다고 생각하시나요",1,1,1,1,0
40,entp,ESTJ 엣티제 남자분들 도와주세요..,"estj 남자분들ㅠㅠ 제 남자친구가 estj인데요. 저랑 만나기 전에 사귀었던 여자친구가 이제는 저랑 오빠랑 사귀고 있다는 걸 알면서도 집착이 심한지 오빠한테 연락도 가끔 오고요.. 어제는 전화도 왔어요 오빠 말로는 전 여자친구가 집착이 심하고 술 취해서 그런 거 같다면서 안 받아도 된다고 자기 못 믿는 거냐고 그러는데요.. 여기서 궁금한 포인트를 여쭤볼 건데 도와주세요ㅠㅠ 보통 estj 남자분들은 전 여자친구랑 성격차이로 먼저 헤어지자고 끝낸 상황이라면 이렇게 연락이 온다고 하더라도 흔들리지 않으시나요 왜 전 여자친구가 자주 종종 연락이 오는데도 연락에 반응을 안 해줄지라도, 정확하게 선 긋고 다신 연락하지 말라는 말을 하지 않는 걸까요 다들 그러시나요 ㅠㅠㅠ 너무 마음이 불안하고 힘들어요 도와주세요..",3,1,1,0,0
41,enfp,Estj 가 자기사람이다 싶을때,아끼지 않고 퍼준다고 하던데 저는 estj가 그래도 머릿속으로 계산기 두드리는 게 보였거든요 아직 자기 사람이 아닌 걸까요 아니면 자기 사람이라도 현실적으로 계산하나요,1,1,1,1,0
42,isfj,연애 10년차 ESTJ 여자 ♡ INFJ 남자,안녕하세요 20대 후반 estj 여자입니다 그동안 눈팅 위주로 하다.. 오랜만에 q a 받아볼까 해요 중간중간 답글 달아드릴 테니 덧글로 아주 간~단하게 여쭤봐주세요,12,0,0,1,1
43,enfp,잇티제 기분 나빠도 말 잘 안 하죠?,"누가 봐도 기분 나쁘고 텐션도 다운되어 있고 말투도 날 서 있는데 자꾸 아니래요,,, 이거 뭐 어떻게 제가 옆에서 막 분위기 띄우려고 해도 진짜 다 튕겨내고 ㅠㅠ 덩달아 저도 기분 안 좋아지고,,,",1,1,1,1,0
44,istj,ESTJ 남자한테 꽃?을 받았는데..,"동네 모임에서 알게 된 남자고 여러 명이서 두 번 정도 그냥 인사 정도만 하고, 둘이 그냥 밥 먹기로 약속 잡아서 밥 먹는 날에 생일이라고 풍선 꽃다발에 레터링으로 제 이름 새겨서 선물을 줬는데, 아무 호감 이 없어도 이런 선물을 줄 수 있나 욥 ㅋㅋㅋ 저는 enfp라 이런 거에 감동을 잘 받아서... 오해를 해도 되나 싶어서요",14,0,0,0,1
45,isfj,연인간 결혼얘기하면 짜증나는 분,"네 접니다,, 그동안 남자친구들이 우리 나중에 애 몇 명 낳고~ 어디 살고~ 이런 얘기 하면 짜증이 확 났어요. 아니 현실적으로 결혼할 확률도 매우 낮고 둘 다 여건도 안 갖춰졌는데 뭔 결혼... 그리고 당장 계속 사귈지도 모르는데.. 가장 많이 한 말이, 너의 미래에 날 두지 말고 계획을 세워라. 였어요. 근데 그게 사바사 케바케라는 것을 깨달았습니다,, 누구보다 이성적이고 현실적인 istj 남자친구가 진지하게 내 미래는 네가 중심이야. 내가 지금 이렇게 노력하는 것도 다 널 위해서야. 네가 첫 번째야.라고 하는데 그만 심장이 주책맞게 나대버린 겁니다...... 원래는 안 그런 사람인 거 아니까 더 기분 좋은 듯요. 역시 반전 매력이 참 무서워요.",12,0,0,1,1
46,enfp,인간 관계를 포기하게돼요,"예전에는 누구랑 말싸움하는 상황이 되면, 무조건 내 말 인정하게 납득시켰어요. 어떤 방법으로든 근데 이제는 말싸움하다가 이 사람의 의견은 꺾이지 않겠구나, 근데 이 논쟁이 이럴 의미가 있나.. 싶고, 막 우기는 사람을 이제는 더 교정하고 싶지도 않고, 놔버리고 싶어요. 특히나 답이 없는 가치관 문제를 저에게 강요할 때는 더더욱.. 대화의 벽을 느끼고 사람을 피하게 되네요.. 원래는 전혀 이런 회피성 성격이 아니었는데..",1,1,1,1,0
47,istp,잇티제가 오래 본 이성을 선호하는 이유,istj 관련 글을 보다 보면 사귀기 전에 이성을 오랫동안 본다는 글이 많더라고요 한 사람을 오랫동안 지켜보면서 호감이 점점 쌓이는 건지 처음에 좀 호감이 있어도 오래 지켜보고 판단하는 건지 궁금합니다 그럼 istj는 첫눈에 반하는 일은 거의 없는 건가요..,15,0,0,0,0
48,estj,istj 속마음이 궁금해요,"한 가지 고민이 있어서 글을 씁니다. 저의 남자친구는 극 아주 극 istj입니다 제 남자친구는 저랑 사귀면서 안 좋은 모습을 보여주고 싶지 않다고 좋은 모습만 보여주고 싶고 좋은 일들만 일어났으면 좋겠다고 얘기를 합니다 근데 제 생각은 좀 달라요 이것도 맞는 말이지만 남자친구 마음도 잘 알지만 저는 사귀면서 좋은 것만 볼 수는 없고 좋은 일들만 일어날 수도 없고 서로 부족한 모습을 보고 보듬어주고 안아줄 수도 있는데. . 제 남자친구가 순수한 건가요, 남자친구한테 진지하게 얘기도 해봤는데 남자친구는 그래도 사귀면서 좋아하는 사람한테 안 좋은 모습을 보여주는 것보다는 좋은 모습을 많이 보여주고 싶다네요 그래야지 관계가 더 좋아질 것 같다고 생각하는 것 같아요 istj 남자는 진심으로 사랑하는 여자 앞에서 좋은 모습만 보여주고 싶어 하나요 좋은 모습만 보려주려고 하면 남자친구가 좀 힘들까 봐 걱정됩니다. . ㅠㅠ",6,1,0,0,1
49,enfp,극 istj 남 질문받아요ㅋㅋ,전문가용 mbti 해보면 i s t j 가 아주 극에 치달아있는 남자입니다. 궁금하신 거 댓글요ㅋㅋ,1,1,1,1,0
